stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1713,1713,Research Ctr/N Knollwood Nbnd,817,37.2026409031535,-80.4058557990704,0,0
1703,1703,Airport,737,37.2052810194276,-80.4085056845546,0,0
1706,1706,Kraft/Tech Center Dr Sbnd,760,37.2042745131338,-80.409947396072,0,0
1715,1715,Kraft/Moss Bldg Sbnd,823,37.20188854348,-80.4098241275444,0,0
1707,1707,Pratt/Kraft Wbnd,761,37.2011294782835,-80.4106489068656,0,0
1708,1708,Pratt/Garvin Bldg Nbnd,762,37.2016940833148,-80.4117284960585,0,0
1709,1709,Pratt/Andrews Bldg Nbnd,763,37.2036781908486,-80.4124430282205,0,0
1722,1722,Research Ctr/Innovation Nbnd,,37.2063423518146,-80.4192722093625,0,0
1723,1723,Innovation/Smoot Ebnd,,37.20869,-80.418273,0,0
1724,1724,Innovation/Smoot Wbnd,,37.209374,-80.416945,0,0
1154,1154,English Field,,37.2183690731299,-80.4250590480069,0,0
1122,1122,Food Science Bldg,726,37.2206413949012,-80.4243806535406,0,0
1126,1126,Harper Hall,732,37.2223336829146,-80.4234779133486,0,0
1148,1148,Price Hall ,,37.2255111681882,-80.4251607822649,0,0
1149,1149,Hahn Hall,,37.2274642507124,-80.4262766863534,0,0
8116,8116,Orange Bay 16,,37.230849,-80.426966,0,0
8003,8003,Maroon Bay 3,,37.231765,-80.424925,0,0
1422,1422,Main/Collegiate Ct Sbnd,125,37.2343084057753,-80.419524337025,0,0
1440,1440,Main/Faculty Sbnd,,37.2322529152206,-80.4168893926873,0,0
1600,1600,Main/Roanoke Sbnd,127,37.2296990293085,-80.414330238958,0,0
1500,1500,Roanoke/Church Ebnd,200,37.230159028182,-80.4127222545578,0,0
1501,1501,Roanoke/Wharton Ebnd,201,37.231247,-80.411105,0,0
1502,1502,Roanoke/Rutledge Ebnd,202,37.2318126101382,-80.4102640098491,0,0
1503,1503,Roanoke/Woolwine Ebnd,203,37.2326950569567,-80.4089711850268,0,0
1504,1504,Harding/Silverleaf Ebnd,204,37.2357930085536,-80.4083086793607,0,0
1506,1506,Harding/Patrick Henry Ebnd,206,37.2377778433429,-80.4058853033713,0,0
1507,1507,Harding/Apperson Ebnd,207,37.2385825060953,-80.404277318971,0,0
1508,1508,Harding/Vista Ebnd,208,37.2392316007156,-80.4029925407763,0,0
1509,1509,Harding/Roanoke Ebnd,209,37.2404433108819,-80.4005260367647,0,0
1510,1510,Ascot/Harding Ebnd,210,37.2414538110169,-80.3990040957334,0,0
1511,1511,Ascot/Hampton,211,37.239304,-80.398058,0,0
1512,1512,Ascot/Harding Wbnd,212,37.2414564932261,-80.3990201889884,0,0
1513,1513,Harding/Rucker Wbnd,213,37.240411,-80.400591,0,0
1514,1514,Harding/Sutton Wbnd,214,37.2391994142055,-80.4030582549011,0,0
1515,1515,Harding/Apperson Wbnd,215,37.2384778999375,-80.4044771435545,0,0
1517,1517,Harding/Silverleaf Wbnd,218,37.235422435989,-80.4086371348543,0,0
1518,1518,Roanoke/Woolwine Wbnd,219,37.23255,-80.409175,0,0
1519,1519,Roanoke/Rutledge Wbnd,220,37.2317764003143,-80.4103216773463,0,0
1520,1520,Roanoke/Wharton Wbnd,221,37.23114,-80.411262,0,0
1521,1521,Roanoke/Penn Wbnd,222,37.2303883570664,-80.4123923428292,0,0
1628,1628,Main St Post Office,159,37.229905559415,-80.4145555445287,0,0
1441,1441,Main/Faculty Nbnd,,37.2322131752903,-80.4167396547584,0,0
1431,1431,Main/Turner Nbnd,,37.2339302142817,-80.4190482448964,0,0
8114,8114,Orange Bay 14,,37.230579,-80.426661,0,0
1115,1115,Wright House,716,37.226754,-80.425753,0,0
1116,1116,Litton Reaves Hall,717,37.2224369479678,-80.4235275342183,0,0
1123,1123,McComas Hall,727,37.2211935430622,-80.4222780278211,0,0
1124,1124,Cassell Coliseum,728,37.2231262757257,-80.4194773983644,0,0
1125,1125,Tennis Courts,729,37.2250467374949,-80.4167187462281,0,0
1150,1150,CID LLC,,37.2274122449711,-80.4173534038326,0,0
1100,1100,Newman Library,700,37.2285349505267,-80.4197657358507,0,0
1114,1114,Torgersen Hall,714,37.229666,-80.420837,0,0
1104,1104,Old Security Bldg,704,37.2315538520775,-80.4220983343284,0,0
8005,8005,Maroon Bay 5,,37.231327,-80.425043,0,0
1106,1106,Kelly Hall,706,37.2314612407363,-80.4220442725446,0,0
1142,1142,McBryde Hall,,37.2300729065617,-80.4210668671021,0,0
1143,1143,East Eggleston Hall ,,37.2277633902427,-80.4189576817489,0,0
1144,1144,Vawter Hall,,37.2269039414478,-80.4169513091131,0,0
1145,1145,Miles Hall,,37.2247650683046,-80.4171958821911,0,0
1146,1146,Pritchard Hall,,37.2232565981448,-80.4193514415122,0,0
1147,1147,Student Services Building,,37.2214510154184,-80.4219090955526,0,0
8004,8004,Maroon Bay 4,,37.231611,-80.425148,0,0
1129,1129,Lot 1 at Beamer Way,,37.221923,-80.419706,0,0
1127,1127,Softball Field,,37.219176419529,-80.4194046525458,0,0
1725,1725,Chicken Hill/Southgate Sbnd,,37.2167304983469,-80.4168458772896,0,0
1717,1717,Beamer/Southgate Nbnd,,37.2168968449174,-80.4189852129808,0,0
1152,1152,Lane Stadium at Sterrett,,37.2180590917091,-80.4165741733984,0,0
1153,1153,Lane Stadium,,37.2186497393288,-80.4188602089518,0,0
8007,8007,Maroon Bay 7,,37.231579,-80.424478,0,0
1400,1400,Main/Progress Nbnd,100,37.23806349862,-80.420485,0,0
1401,1401,Main/Montgomery Nbnd,101,37.2391216301394,-80.4199548315975,0,0
1424,1424,Main/Lucas Nbnd,167,37.2403058254901,-80.4191971075056,0,0
1425,1425,Main/Northview Nbnd,168,37.2419191743087,-80.4180316876192,0,0
1426,1426,1200 North Main Nbnd,169,37.2432710077328,-80.4170499990612,0,0
1427,1427,Main/Patrick Henry Nbnd,170,37.2460457531241,-80.4150651642719,0,0
1409,1409,1500 North Main Nbnd,110,37.2490927427466,-80.4129207380367,0,0
1410,1410,Main/Giles Nbnd,111,37.2509823591103,-80.4116051144364,0,0
1411,1411,Main/Red Maple Nbnd,112,37.2531254442409,-80.4109251744106,0,0
1439,1439,Main/Givens Nbnd,,37.2556131932505,-80.4106958455262,0,0
1412,1412,Givens/Main Wbnd,113,37.2560567197522,-80.4114738687096,0,0
1437,1437,Givens/Yale Ebnd,,37.2539624907181,-80.4178377306884,0,0
1436,1436,Givens/Whipple Ebnd,,37.2551373092965,-80.4141905425627,0,0
1413,1413,Whipple/Givens Sbnd,114,37.254792437243,-80.4133928068514,0,0
1428,1428,Whipple/Courtney Sbnd,171,37.2524830551435,-80.4127490766495,0,0
1435,1435,Whipple/Main Sbnd,,37.2509459040315,-80.4123616007174,0,0
1429,1429,1500 North Main Sbnd,172,37.2494964152274,-80.4126364238642,0,0
1416,1416,Main/Patrick Henry Sbnd,119,37.246036365392,-80.4150718697948,0,0
1417,1417,1200 North Main Sbnd,120,37.2432828281606,-80.4170887912833,0,0
1418,1418,Main/Northview Sbnd,121,37.2415302539784,-80.4183173428963,0,0
1419,1419,Main/Lucas Sbnd,122,37.2401609861947,-80.4192990314543,0,0
8110,8110,Orange Bay 10,,37.229561,-80.427317,0,0
1200,1200,Prices Fork/Old Glade Wbnd,224,37.2313687045198,-80.4348960778055,0,0
1201,1201,1410 Prices Fork Rd,225,37.2296158808241,-80.4378170035968,0,0
1202,1202,Prices Fork/Plantation Wbnd,226,37.2255080774729,-80.4446794357705,0,0
1203,1203,Prices Fork/Huntington Wbnd,227,37.2245009079278,-80.4473978547691,0,0
1204,1204,Hethwood Square on Hethwood,228,37.2167788277137,-80.4533697934967,0,0
1205,1205,Tall Oaks/Hethwood Ebnd,229,37.2144882210784,-80.4522285134929,0,0
1206,1206,Tall Oaks/Foxhunt Ebnd,230,37.2157649526456,-80.4504797131109,0,0
1207,1207,Tall Oaks/Heather Ebnd,231,37.2172079811816,-80.4486531286629,0,0
1212,1212,Heather/Tall Oaks Nbnd,236,37.2177310119707,-80.4482695727509,0,0
1213,1213,Heather/Plymouth Nbnd,237,37.2196031939747,-80.4481220512463,0,0
1214,1214,Heather/Huntington Nbnd,238,37.2220426632191,-80.4489146440574,0,0
1215,1215,Prices Fork/Huntington Ebnd,239,37.2249148142852,-80.4463606386196,0,0
