shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8c645223-1d5a-4351-adb6-43949e7cf524,37.231152893827,-80.4350422840067,244,29381.65
6e506adb-c6e8-48e0-b606-2bd650720397,37.2347717688464,-80.4208772396356,20,745.63
f0de71e0-107d-4bcb-a8d2-8dfcf6d66e3a,37.2392852448991,-80.422364796541,39,3191.39
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.167082,-80.421249,168,16801.95
2504249f-e511-4516-8a2e-2c1e088d018d,37.2343084057753,-80.419524337025,15,908.16
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.1877592349326,-80.41024442839,84,8835.74
c1bea031-37b2-475c-8beb-85fbb71be7a0,37.2260334914556,-80.4237739762904,99,4562.98
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2391216301394,-80.4199548315975,35,1252.4
c36e7bd9-7191-4115-a8f8-5507f1f145cf,37.1616080606206,-80.4273249460655,149,15342.56
f662dd49-53b2-49fa-8046-c83dde4f3bb4,37.2261699082387,-80.441894852387,10,624.83
98e8b74d-b3ea-4ff9-993d-114d2f5de2cf,37.2208366102352,-80.4228138864479,27,1788.95
f83a250c-9d24-4fcf-a339-5447d451fdf5,37.223944349524,-80.4080511872799,54,5405.03
8c645223-1d5a-4351-adb6-43949e7cf524,37.1676255318724,-80.4281342439185,112,13295.45
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.1937229127301,-80.4016505812698,160,10423.23
f0de71e0-107d-4bcb-a8d2-8dfcf6d66e3a,37.2349561434485,-80.4209185945764,45,3717.15
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.1639077358816,-80.4297458605814,117,12744.79
a43aa2ac-7c35-4c0b-a970-437b91e4ba35,37.2269392617882,-80.4405366614968,17,1953.86
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2320533994265,-80.4238280864722,1,52.54
f83a250c-9d24-4fcf-a339-5447d451fdf5,37.2130384870194,-80.3941130873032,42,3266.71
e708f6e7-1846-4ab0-b148-b3f768db6cb4,37.2405318881149,-80.4356006609024,68,4255.68
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.2191544493285,-80.4376197583646,70,3404.95
25434fe2-1283-4de5-baa4-bb1845c06a9e,37.238916,-80.420067,77,6745.98
8c645223-1d5a-4351-adb6-43949e7cf524,37.1630030023898,-80.4211292788458,186,18496.92
a26fa236-5b1f-44ff-93d3-aeaf75cc2973,37.2163771348236,-80.400966522142,100,6419.79
0aa35e38-de23-44ce-b140-77621ff93358,37.2336221793806,-80.4236366957543,16,465.59
e93f9bcf-465f-43b3-90d0-216bddda2c87,37.2451177087496,-80.4247385516607,33,1866.56
8c645223-1d5a-4351-adb6-43949e7cf524,37.1742131376218,-80.4161958514396,212,20854.62
50af930d-67fd-4314-80ca-dcff1602aa9f,37.23114,-80.411262,94,6289.72
78bec10c-1fb8-41d6-af99-dd82e113d469,37.2333922396676,-80.4249115022306,12,1036.58
8909fd06-51cb-4b38-b873-c3b148b909b0,37.2261357509686,-80.4417452346524,41,6172.28
9231ca1f-b1ee-4245-85f9-3186ecc00751,37.2165521417983,-80.4239253055466,19,2144.02
9231ca1f-b1ee-4245-85f9-3186ecc00751,37.1972716885462,-80.4041379209488,95,7024.86
6add60f2-c611-432d-b7dc-83ccf50cad6e,37.2299929526778,-80.4284091884212,67,5833.52
3f10aa8b-ace6-4ae9-ba94-ffaeea5f0ab2,37.2353114643746,-80.4207844266881,69,7795.49
9231ca1f-b1ee-4245-85f9-3186ecc00751,37.208927060425,-80.4167709198557,58,3962.72
1dc0fd3b-7e4c-4647-b4f4-48d87fcaa171,37.210897815073,-80.4292993725944,20,4409.55
c36e7bd9-7191-4115-a8f8-5507f1f145cf,37.1664341886237,-80.423722435737,102,12854.24
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.2322709925251,-80.423717318747,234,28188.83
009b7c3f-c455-4799-b8cf-815505da3f7e,37.2315813368407,-80.4288769576421,82,5035.25
86a57bd8-fef0-4b5e-b079-990c8f500901,37.23806349862,-80.420485,21,1113.73
1dc0fd3b-7e4c-4647-b4f4-48d87fcaa171,37.2236398292662,-80.4398238098844,28,6120.3
e570e646-82c5-4744-98dc-764a6d346163,37.2434338158394,-80.4284104173879,31,2707.3
98e4504d-d61b-4182-95cb-038c39551a3a,37.2302807191654,-80.4285102338965,6,577.27
0838e7d7-57d5-427d-b770-e402eac1f11e,37.2409754036056,-80.4352655282465,38,2013.3
6e506adb-c6e8-48e0-b606-2bd650720397,37.2403058254901,-80.4191971075056,34,1428.36
a5d067da-d551-4428-93e8-ae0cd08d0e96,37.2025938299575,-80.4099760027014,10,938.14
a43aa2ac-7c35-4c0b-a970-437b91e4ba35,37.2165682742934,-80.4461506275028,46,4783.97
a5d067da-d551-4428-93e8-ae0cd08d0e96,37.2294327000256,-80.4378071021492,81,7177.17
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.208927060425,-80.4167709198557,83,4843.7
f662dd49-53b2-49fa-8046-c83dde4f3bb4,37.2258633028262,-80.4429145461374,9,528.39
f662dd49-53b2-49fa-8046-c83dde4f3bb4,37.2283711460609,-80.4390367856597,15,983.61
1dc0fd3b-7e4c-4647-b4f4-48d87fcaa171,37.1947020670095,-80.4049737632146,11,1581.26
da4e0dbe-a20d-4ca9-80cb-7614cd29577c,37.2360027398384,-80.4342022504536,69,3476.28
e0c0f9c9-b199-40b3-87ab-7bd1f213e157,37.2180590917091,-80.4165741733984,54,3304.97
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.2315422824461,-80.4251553404484,142,14377.23
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.2325094316099,-80.4240738376249,250,28144.68
a632e61e-c94b-4ceb-a95e-33c672af2314,37.2276762973976,-80.4180477426533,22,988.98
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.2308152246374,-80.4154580346452,116,12863.65
3c2c524f-a466-48b1-81e4-f3ac7f35d571,37.2314196664941,-80.4344079157357,76,7580.24
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.1902955381511,-80.4050298809742,85,7866.65
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.2099539464685,-80.3956607219971,92,9194.79
3f10aa8b-ace6-4ae9-ba94-ffaeea5f0ab2,37.2306477458816,-80.4153439486041,59,7080.21
e93f9bcf-465f-43b3-90d0-216bddda2c87,37.2357518020204,-80.4210263205171,57,4101.93
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.1723215938644,-80.4207030191871,95,11063.36
25434fe2-1283-4de5-baa4-bb1845c06a9e,37.2539624907181,-80.4178377306884,63,4314.71
1dc0fd3b-7e4c-4647-b4f4-48d87fcaa171,37.1968286041484,-80.4066572960002,14,1863.98
0aa35e38-de23-44ce-b140-77621ff93358,37.246036365392,-80.4150718697948,58,5794.13
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.2326769062304,-80.42446957358,13,411.61
8c645223-1d5a-4351-adb6-43949e7cf524,37.183837833701,-80.4031922697934,73,8756.98
d9e3b73a-4dff-41e8-8980-71d8aa98e45f,37.2248382180869,-80.4354110345914,35,2855.86
c9430839-4a0c-471d-83b5-6785322fce8a,37.2229454108837,-80.4502929356123,77,6746.07
6add60f2-c611-432d-b7dc-83ccf50cad6e,37.2331347076618,-80.4328024958622,60,5138.29
e708f6e7-1846-4ab0-b148-b3f768db6cb4,37.2342019559618,-80.4333363573557,84,5006.97
a5d067da-d551-4428-93e8-ae0cd08d0e96,37.2314196664941,-80.4344079157357,83,7550.28
