route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
CRC,091ff308-6621-4d79-a1bc-ba2236804858,081fbb50-e530-4d54-9cb1-c5ec8d1cee02,5ace41fb-b4a5-42d0-8d49-1628dcfd98a9,Transit Center,0,a1cfd88d-93e0-4b46-807c-bc3539a478a0
HDG,8075bf77-1b12-40db-a5af-1ebddf57f556,36fc21be-2740-4712-b419-b8e9ee043494,50af930d-67fd-4314-80ca-dcff1602aa9f,Transit Center,0,f5074b9d-6877-4bcb-9004-2271685d5d86
CAS,beee1596-6f48-455c-aede-3a8b1c06e577,1d10ded5-86c6-403f-8779-37b0efa72f55,641aaf72-1326-4d06-a82a-2f2d84091463,Transit Center,0,36b1caf4-273e-467f-94ab-6c6a559a9d60
BMR,8075bf77-1b12-40db-a5af-1ebddf57f556,9d7f7c4c-9b32-42d7-810d-1f6889c81971,7d6b5437-cda5-4b9f-822a-b8f311b72480,Transit Center,0,986a036a-879c-4b17-9efc-cd10ec3f7779
NMG,d328786d-38b4-41e7-b600-957169df546b,f18b72c0-e5f1-4402-a56a-4cd34e5aee69,6e506adb-c6e8-48e0-b606-2bd650720397,Transit Center,0,5a41a725-cecc-4e4e-9144-bac2a8a7951c
HWB,d328786d-38b4-41e7-b600-957169df546b,9abda644-6ba1-4f8b-aef5-b7ba58a30494,0a3f36d7-c307-4463-b6c5-99406a7cffaf,Transit Center,0,a7b108cd-5a36-4a78-bf91-53b15b8a4aba
HWC,beee1596-6f48-455c-aede-3a8b1c06e577,35347f6e-3aa7-4d36-b987-8250bf188a20,c9430839-4a0c-471d-83b5-6785322fce8a,Transit Center,0,b77fb763-b8e2-4bba-82f2-727da9c19631
CRC,beee1596-6f48-455c-aede-3a8b1c06e577,4c8f9e72-84c1-4b30-93b9-b4b7d2730e47,5ace41fb-b4a5-42d0-8d49-1628dcfd98a9,Transit Center,0,9529401f-cc2c-4217-8c21-c460a2878f12
NMG,fb776b87-ec52-4c17-8c53-009d0edf13a2,803ea9fb-e634-454a-9709-dad118f93cdf,0aa35e38-de23-44ce-b140-77621ff93358,Transit Center,0,c0993775-354f-48e2-8788-dc72231f25d9
HWC,091ff308-6621-4d79-a1bc-ba2236804858,3cdb67a5-899d-4401-8782-338b195ec7a3,c9430839-4a0c-471d-83b5-6785322fce8a,Transit Center,0,dfa61f69-01f6-412f-bea6-1c2560c597cd
HDG,091ff308-6621-4d79-a1bc-ba2236804858,23c6d42f-00ea-4999-9726-e3c498206692,50af930d-67fd-4314-80ca-dcff1602aa9f,Transit Center,0,f02ebd0c-933a-4269-b53a-326297bccadb
TTH,beee1596-6f48-455c-aede-3a8b1c06e577,2f06ae80-fa4d-440e-b55d-fbb9760f8b45,fd0937b3-48d6-4b86-9d74-e463b40d55f4,Transit Center,0,b8f686aa-08fd-491e-b9e6-a22e2b376a79
NMG,beee1596-6f48-455c-aede-3a8b1c06e577,46a47802-30f7-4c48-89af-d45d0ba43a40,6e506adb-c6e8-48e0-b606-2bd650720397,Transit Center,0,aaa52cf1-bdd4-45a7-936e-81bd3efa8f14
NMG,fb776b87-ec52-4c17-8c53-009d0edf13a2,27e35795-5aa6-461b-8286-fbf5a8e124a9,0aa35e38-de23-44ce-b140-77621ff93358,Transit Center,0,967ceaa4-2396-4b87-83f0-716ed7c4e19e
CRC,d328786d-38b4-41e7-b600-957169df546b,2ac537e4-4517-41bf-a5ba-8058f9e872b5,5ace41fb-b4a5-42d0-8d49-1628dcfd98a9,Transit Center,0,cebfcbf3-32f9-470c-a37b-651fe39964d0
NMG,fb776b87-ec52-4c17-8c53-009d0edf13a2,8bd9120c-4977-4006-a07d-4315411b622f,0aa35e38-de23-44ce-b140-77621ff93358,Transit Center,0,967ceaa4-2396-4b87-83f0-716ed7c4e19e
PHD,091ff308-6621-4d79-a1bc-ba2236804858,616e6cae-0dd9-4a18-acb3-ca864ebebdd1,af234ae3-0762-49b9-89ff-4665d5b32ac7,Transit Center,0,b61fcfe8-7cae-43c0-bb63-744a2344c3f5
SMA,d328786d-38b4-41e7-b600-957169df546b,15f3cdad-4854-43b4-8635-c2ed34588aba,f83a250c-9d24-4fcf-a339-5447d451fdf5,Transit Center,0,12342b60-569a-438e-b234-090115e37308
CRC,8075bf77-1b12-40db-a5af-1ebddf57f556,81e7097e-7fa3-4be9-b3a7-a1b0d677fedf,9231ca1f-b1ee-4245-85f9-3186ecc00751,Transit Center,0,4327d3c3-7c42-4bef-86dd-c9956a074afe
CAS,091ff308-6621-4d79-a1bc-ba2236804858,87c3784f-9f54-4f3e-922e-a7ff3420042e,c2c639a5-32f8-41e3-8221-8ebd4c904b68,Transit Center,0,6606e29a-28dd-466f-b107-f2d9cb64adf2
SME,091ff308-6621-4d79-a1bc-ba2236804858,d3ba7479-2bbf-4c94-8734-c24226efc95f,8edb0ac0-7024-48a5-a3bf-3ff8e8a7044f,Transit Center,0,6c739586-6d1b-4d5a-9d71-d84ff9600f98
NMG,d328786d-38b4-41e7-b600-957169df546b,16969649-e7ff-4b3e-bfc0-b2210f87d7b3,6e506adb-c6e8-48e0-b606-2bd650720397,Transit Center,0,523765bd-5f74-4a10-8459-3d9be1b679b8
HXP,d328786d-38b4-41e7-b600-957169df546b,5646a7f6-f94c-42ce-9bd1-8753a3bbab29,d9e3b73a-4dff-41e8-8980-71d8aa98e45f,Transit Center,0,c7af212f-f20c-4dd7-9e5c-64f4938d63d7
HDG,fb776b87-ec52-4c17-8c53-009d0edf13a2,2c827673-22a4-43e6-a078-f9f79cb8331e,50af930d-67fd-4314-80ca-dcff1602aa9f,Transit Center,0,f801f0f3-34ee-4f73-8997-27307b4c6743
CRC,8075bf77-1b12-40db-a5af-1ebddf57f556,4585d4f1-1b7a-48fe-bc27-7aed9d3dac54,9231ca1f-b1ee-4245-85f9-3186ecc00751,Transit Center,0,4327d3c3-7c42-4bef-86dd-c9956a074afe
HXS,091ff308-6621-4d79-a1bc-ba2236804858,185d63ce-4a4b-4afd-a6cf-05a3ecc98f1c,bccd5bab-2cf0-4b7a-bbac-6523feb55222,,0,d55aaa51-d27e-4b5d-96d3-89f4894174a5
HDG,8075bf77-1b12-40db-a5af-1ebddf57f556,317be545-7b39-456d-8ec9-d471af47c98a,d5bba5d8-b131-4789-abec-efc493310641,Transit Center,0,986a036a-879c-4b17-9efc-cd10ec3f7779
HWB,8075bf77-1b12-40db-a5af-1ebddf57f556,089e407e-89b7-42d5-a5cc-ccfc89e1669f,0a3f36d7-c307-4463-b6c5-99406a7cffaf,Transit Center,0,b37538a8-9598-48d9-9603-197e8f6ff117
CAS,8075bf77-1b12-40db-a5af-1ebddf57f556,8794ead5-0faf-4b03-b35d-a10cbcd5d57b,641aaf72-1326-4d06-a82a-2f2d84091463,Transit Center,0,517f89a8-2295-4ec0-a139-addebe84bd2d
CRC,fb776b87-ec52-4c17-8c53-009d0edf13a2,2108465b-2ce4-4f9f-82ff-fc0261ec580c,5ace41fb-b4a5-42d0-8d49-1628dcfd98a9,Transit Center,0,f889dfbb-8c94-4aba-8d3a-71973bc544df
TCR,d328786d-38b4-41e7-b600-957169df546b,9940d17b-8d89-46a7-91b8-7c4b6bf5051e,da4e0dbe-a20d-4ca9-80cb-7614cd29577c,Transit Center,0,199190c8-3a08-4018-8d8c-26c2c12aaecc
SMS,d328786d-38b4-41e7-b600-957169df546b,af067d9d-ecf3-4308-83e9-f369c502d884,99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,Transit Center,0,2a3a0290-5bbc-46f8-a745-57ec6894da84
TCP,d328786d-38b4-41e7-b600-957169df546b,1f5ce446-a68f-4881-81fc-195ea7761177,e708f6e7-1846-4ab0-b148-b3f768db6cb4,Transit Center,0,86942d4c-4720-4c14-8b16-783b204cf345
NMG,8075bf77-1b12-40db-a5af-1ebddf57f556,f39a5c3f-5201-434a-aab0-f4820707cdc3,0aa35e38-de23-44ce-b140-77621ff93358,Transit Center,0,39aa3501-54d5-4f09-ad55-c7ae4fb09c5e
UCB,beee1596-6f48-455c-aede-3a8b1c06e577,7c4af744-57e6-44be-ad28-0d2ba80f6a54,0838e7d7-57d5-427d-b770-e402eac1f11e,Transit Center,0,6feb6a1f-226b-476b-81a2-7a98a0fb8fbd
CRC,fb776b87-ec52-4c17-8c53-009d0edf13a2,11f1acd2-fe10-4db2-a9ca-b50471a2077b,9231ca1f-b1ee-4245-85f9-3186ecc00751,Transit Center,0,f889dfbb-8c94-4aba-8d3a-71973bc544df
PHD,d328786d-38b4-41e7-b600-957169df546b,1114b1c2-fb04-4bf9-a473-7b6b7c54d27f,af234ae3-0762-49b9-89ff-4665d5b32ac7,Transit Center,0,e47ac4ba-632c-4ca5-b0ba-be3e50bf5b1d
CAS,406882a3-b26f-4acf-b963-2ec7d5013678,81d3932c-3ee5-4f28-8f18-7e602e1853af,98e8b74d-b3ea-4ff9-993d-114d2f5de2cf,Transit Center,0,2a18b1c6-72f1-4ad3-bc13-a11ebb900c11
HXS,406882a3-b26f-4acf-b963-2ec7d5013678,3caeaee7-3558-4161-8df4-60c35ac1a53c,bccd5bab-2cf0-4b7a-bbac-6523feb55222,,0,8d5acba3-4fc0-499b-90d7-0a01cb456e95
HXP,d328786d-38b4-41e7-b600-957169df546b,2945a946-8058-4c47-ad99-6e4ede900d13,d9e3b73a-4dff-41e8-8980-71d8aa98e45f,Transit Center,0,c7af212f-f20c-4dd7-9e5c-64f4938d63d7
HWA,d328786d-38b4-41e7-b600-957169df546b,26b823fa-6462-4041-bd52-bdd4d64de8ee,3c2c524f-a466-48b1-81e4-f3ac7f35d571,Transit Center,0,ec987510-97cb-4e6c-a6c7-9f7a46ff73ae
HWA,8075bf77-1b12-40db-a5af-1ebddf57f556,28cd5f5b-1493-40d9-8010-6c0819b6931f,3c2c524f-a466-48b1-81e4-f3ac7f35d571,Transit Center,0,b5cc930f-92b8-4b64-87e1-eb9916ddd903
HWA,8075bf77-1b12-40db-a5af-1ebddf57f556,94b60fbd-fda7-4b0e-ba76-fad562f407ce,3c2c524f-a466-48b1-81e4-f3ac7f35d571,Transit Center,0,b5cc930f-92b8-4b64-87e1-eb9916ddd903
SME,fb776b87-ec52-4c17-8c53-009d0edf13a2,67acf280-6cb0-4529-8591-6184cb904aef,8edb0ac0-7024-48a5-a3bf-3ff8e8a7044f,Transit Center,0,967ceaa4-2396-4b87-83f0-716ed7c4e19e
HWC,fb776b87-ec52-4c17-8c53-009d0edf13a2,5406cf01-1dac-4367-b1b6-786cc48d09da,c9430839-4a0c-471d-83b5-6785322fce8a,Transit Center,0,70286d4d-fc46-4360-a704-0532ec3d7d15
CAS,8075bf77-1b12-40db-a5af-1ebddf57f556,cf256e04-ae10-490b-86a4-b96393357159,641aaf72-1326-4d06-a82a-2f2d84091463,Transit Center,0,517f89a8-2295-4ec0-a139-addebe84bd2d
HWC,beee1596-6f48-455c-aede-3a8b1c06e577,043bc971-81c3-43b8-be3a-c2e3dd971c2d,c9430839-4a0c-471d-83b5-6785322fce8a,Transit Center,0,b77fb763-b8e2-4bba-82f2-727da9c19631
TTH,091ff308-6621-4d79-a1bc-ba2236804858,c47fec9b-3836-426d-b15a-abaecd53dea2,fd0937b3-48d6-4b86-9d74-e463b40d55f4,Transit Center,0,925c55f5-1d80-44ee-a1f7-bd61f959d0c5
HWB,8075bf77-1b12-40db-a5af-1ebddf57f556,1d834da8-b808-4596-b17a-0feb475c37ea,0a3f36d7-c307-4463-b6c5-99406a7cffaf,Transit Center,0,b37538a8-9598-48d9-9603-197e8f6ff117
HDG,d328786d-38b4-41e7-b600-957169df546b,b162456c-0317-497e-9138-7a852ba3653e,d5bba5d8-b131-4789-abec-efc493310641,Transit Center,0,9caa6deb-e312-46b1-9168-24c3acbe8d68
SME,091ff308-6621-4d79-a1bc-ba2236804858,ea36774d-33f0-4ec2-94a4-ee462d14f955,8edb0ac0-7024-48a5-a3bf-3ff8e8a7044f,Transit Center,0,6c739586-6d1b-4d5a-9d71-d84ff9600f98
SME,fb776b87-ec52-4c17-8c53-009d0edf13a2,06f0f6ce-06cd-435d-9680-e1e5b390cb10,8edb0ac0-7024-48a5-a3bf-3ff8e8a7044f,Transit Center,0,c0993775-354f-48e2-8788-dc72231f25d9
TCR,8075bf77-1b12-40db-a5af-1ebddf57f556,15ba61c5-a1c1-42fe-91b5-e42486d6dc08,da4e0dbe-a20d-4ca9-80cb-7614cd29577c,Transit Center,0,42ea60ca-22ad-4cac-a61c-d9def9137374
NMG,091ff308-6621-4d79-a1bc-ba2236804858,f89474d5-9423-4a51-afff-2617a561cb4f,0aa35e38-de23-44ce-b140-77621ff93358,Transit Center,0,62c2f03c-3386-4736-a935-a8f7e75c548a
HWC,beee1596-6f48-455c-aede-3a8b1c06e577,4617ce18-8acc-48d8-8c8e-e76609c73c34,c9430839-4a0c-471d-83b5-6785322fce8a,Transit Center,0,b77fb763-b8e2-4bba-82f2-727da9c19631
HXP,8075bf77-1b12-40db-a5af-1ebddf57f556,d3911486-3dfa-43b6-89e5-7ab6d0093d17,d9e3b73a-4dff-41e8-8980-71d8aa98e45f,Transit Center,0,22cc2674-e5ef-430d-b2a2-6ed61cd9ecda
CAS,d328786d-38b4-41e7-b600-957169df546b,03f00329-7657-4c27-8b1a-3564b8d84f4f,641aaf72-1326-4d06-a82a-2f2d84091463,Transit Center,0,e9cce97d-a6ef-499d-8cc4-d14a2efb18e5
TCP,406882a3-b26f-4acf-b963-2ec7d5013678,f8cb06db-e475-41c9-9805-6e5df5a93f61,e708f6e7-1846-4ab0-b148-b3f768db6cb4,Transit Center,0,e019a935-aba4-4bf3-acf7-1ab19ac06176
